gene_name	gex
SLC20A1	0.0
C11orf58	2239.10332840048
ZSCAN9	19.798063595609
CD19	411.53062289513394
TMEM123	34.214129320567004
POMC	0.48053552416526707
NME2	0.0
CEP120	2.1143563063271698
FBXO4	37.577877989723795
GRIA1	0.0
GALNT9	0.0
AKAIN1	0.0
SYCE1L	0.0
GOLGA8S	0.0
CAST	248.24465178377702
FBXW12	0.0
DIRAS2	0.0
WDR7	0.0
MMP1	0.0
SREBF2	0.0
SLC38A3	0.0
PCDHGA11	10.956209950968098
ZNF707	29.697095393413502
ACTR6	0.0
POLR3K	0.0
POLR2F	176.45264447348598
CSDC2	0.0
POGLUT3	0.0
ASB16	0.0
GRIK2	0.0
LY6G6E	0.0
ADAM2	0.0
OR6M1	0.0
MCF2L2	0.0
C3orf18	3.07542735465771
CLEC4E	0.0
TXN	0.0
CD109	0.0
CNTNAP3	0.0
MAD1L1	0.0
CYP51A1	189.763478492864
ALK	0.0
CABP4	0.0
MYF5	0.0
NUP42	0.0
APEH	177.990358150815
TMEM41B	56.6070847466684
SEC61A2	10.956209950968098
PDE2A	0.0
SI	0.0
KIF3B	5.86253339481625
ARHGDIB	35.7518429978958
RGS11	0.0
NQO2	0.0
APBB1	0.48053552416526707
TBC1D3I	0.0
PBK	50.74455135185221
VPS37A	0.0
FAS	5.38199787065099
GTF3C2	0.48053552416526707
P4HA1	110.42706345317801
ZNF680	1.05717815316359
NT5DC1	0.48053552416526707
GPR6	0.0
CNNM2	9.80292469297144
LRP4	0.0
RAET1L	0.0
RGL4	0.0
NUP43	74.5791133504494
PSMC5	322.439336714894
HSPA12B	0.0
CSTF2T	62.902100113233395
SPPL2C	0.0
CLPSL1	0.0
MRO	0.0
TUT1	0.48053552416526707
NHLRC3	9.80292469297144
TYSND1	26.813882248421898
QRICH1	10.571781531635901
AP3S1	0.0
BSX	0.0
CHD6	0.48053552416526707
B3GALT4	0.0
RNF216	0.0
LRFN2	0.0
CCDC28A	90.052357228571
PRPSAP1	0.0
OR5T1	0.0
PPP1R2B	0.0
ADH7	0.0
PTPN18	0.0
MET	0.0
KCNIP2	0.0
ENDOD1	92.74335616389651
TAAR5	0.0
EPM2AIP1	1.05717815316359
MAMDC4	0.0
CDK7	88.80296486574129
IFNA7	0.0
CYLC2	0.0
SMG6	0.0
GJB6	0.0
RGPD4	0.0
OST4	55.646013698337896
TRA2A	115.52074000933001
