gene_name	gex
SLC20A1	0.0
C11orf58	2906.14533973896
ZSCAN9	9.414950191551
CD19	0.0
TMEM123	26.9959286104677
POMC	1.7292765657950802
NME2	0.0
CEP120	0.480354601609745
FBXO4	0.672496442253643
GRIA1	0.0
GALNT9	0.0
AKAIN1	0.0
SYCE1L	0.09607092032194901
GOLGA8S	0.0
CAST	281.583867463633
FBXW12	0.0
DIRAS2	0.0
WDR7	0.0
MMP1	0.0
SREBF2	0.09607092032194901
SLC38A3	2.11356024708288
PCDHGA11	7.397460864790079
ZNF707	18.7338294627801
ACTR6	0.09607092032194901
POLR3K	0.0
POLR2F	256.125073578316
CSDC2	0.0
POGLUT3	0.09607092032194901
ASB16	0.0
GRIK2	0.0
LY6G6E	0.0
ADAM2	0.0
OR6M1	0.0
MCF2L2	0.288212760965847
C3orf18	4.99568785674135
CLEC4E	0.0
TXN	0.0
CD109	0.0
CNTNAP3	0.0
MAD1L1	0.0
CYP51A1	35.1619568378333
ALK	0.0
CABP4	0.0
MYF5	0.0
NUP42	0.0
APEH	328.082192899456
TMEM41B	176.386209711098
SEC61A2	26.9959286104677
PDE2A	0.288212760965847
SI	0.0
KIF3B	1.7292765657950802
ARHGDIB	0.0
RGS11	0.480354601609745
NQO2	0.0
APBB1	18.2534748611703
TBC1D3I	0.0
PBK	24.402013761775102
VPS37A	0.0
FAS	1.7292765657950802
GTF3C2	0.0
P4HA1	87.23239565232971
ZNF680	0.0
NT5DC1	0.09607092032194901
GPR6	0.0
CNNM2	19.2141840643898
LRP4	0.0
RAET1L	0.0
RGL4	0.0
NUP43	131.61716084107002
PSMC5	332.117171552978
HSPA12B	22.768808116301898
CSTF2T	58.89147415735479
SPPL2C	0.0
CLPSL1	0.09607092032194901
MRO	0.0
TUT1	0.0
NHLRC3	25.650935725960398
TYSND1	44.5769070293843
QRICH1	1.7292765657950802
AP3S1	0.0
BSX	0.0
CHD6	0.0
B3GALT4	0.0
RNF216	0.0
LRFN2	0.288212760965847
CCDC28A	52.5507934161061
PRPSAP1	0.0
OR5T1	0.0
PPP1R2B	0.0
ADH7	0.0
PTPN18	0.0
MET	0.0
KCNIP2	0.0
ENDOD1	1.53713472515118
TAAR5	0.0
EPM2AIP1	0.0
MAMDC4	0.0
CDK7	119.12794119921699
IFNA7	0.0
CYLC2	0.0
SMG6	0.0
GJB6	0.0
RGPD4	0.0
OST4	33.8169639533261
TRA2A	204.823202126395
SNTB1	0.96070920321949
OR5V1	0.0
ARHGDIA	0.0
GATA5	0.0
ITPRIPL2	0.672496442253643
UNCX	0.0
RBM18	16.4281273750533
MCPH1	95.5905657203393
CDCA3	120.80918230485099
SMC1B	1.53713472515118
FOXP2	0.0
WDFY4	0.0
PTTG1IP2	0.0
NDUFS1	185.609018062006
USP13	4.0349786535218595
DNAL4	23.8255882398434
SPATA2	0.0
AADACL2	0.0
OR3A3	0.0
KRT1	0.0
ZNF502	18.6377585424581
DMAC1	0.0
PTCH1	0.0
SEPTIN8	0.96070920321949
SUDS3	0.0
SPATA2L	9.414950191551
SLC15A2	0.672496442253643
ADO	35.642311439443105
FEZF2	0.0
ISM1	0.288212760965847
GFRA4	0.0
HTRA1	1.7292765657950802
CASP2	0.0
CACNA2D4	1.92141840643898
SRRM3	0.0
FLI1	0.0
GRHL1	8.26209914768762
CALM2	340.187128860021
GRB7	20.1748932676093
RNF217	0.0
ATP7B	0.0
ST8SIA3	0.0
INS	0.0
TMEM200A	0.96070920321949
SLC25A20	6.9171062631803295
RAG1	0.0
OR13A1	0.0
FAM126B	0.0
PLEKHO2	86.94418289136391
ARL16	0.288212760965847
ARFGAP1	0.09607092032194901
SH3BP4	0.288212760965847
RNASET2	3.84283681287796
USP19	38.5244390491016
THRA	0.0
DOCK10	0.0
OVOL2	0.0
FAXC	0.09607092032194901
STAC3	0.0
DPYSL3	8.26209914768762
RBX1	1018.1596135720199
ACACA	0.0
PPP4R2	0.09607092032194901
KCNK9	0.0
SMDT1	48.996169364194
FADS2	0.09607092032194901
ANTXRL	0.0
HPX	0.0
CHRM2	0.09607092032194901
MTERF2	44.9611907106721
DAP	0.480354601609745
TMEM129	0.0
ARRDC1	0.09607092032194901
SHC4	0.0
PRAME	0.288212760965847
PIP5KL1	0.0
TBC1D20	29.974127140448104
ADCY5	0.0
CCDC110	3.84283681287796
CADM1	18.7338294627801
GTF2A1L	0.0
KARS1	0.288212760965847
URM1	161.20700430023
BMP6	0.0
MMRN2	0.0
AMN1	5.379971538029151
PACSIN3	6.43675166157058
IFNW1	0.0
BOLA2B	0.0
TMEM135	2.97819852998042
ITGB5	1.7292765657950802
UCHL1	10433.2058760433
RUNDC1	7.589602705433969
TPPP	0.0
NAGLU	0.0
ENDOU	0.0
HPSE	0.09607092032194901
GPX3	17.5809784189167
MCCC1	363.82057525922096
MCC	0.0
DNAAF1	0.0
SRPRA	0.0
ANAPC7	333.22198713668
HCN4	0.0
SH2D3C	0.0
BMT2	0.0
DNAI1	0.288212760965847
C9orf131	0.0
SLX1B	0.0
CLTCL1	0.09607092032194901
MED11	56.8739848305938
ASPRV1	0.0
STK31	0.0
CRYZL1	0.288212760965847
CPSF7	218.89759195356098
PKDCC	0.09607092032194901
ADAD1	0.0
ATP2A2	0.0
SMIM28	0.0
P2RY12	0.0
PALB2	0.09607092032194901
CAPZA2	246.037626944511
CSNK1A1L	0.0
SRGN	0.0
BPI	0.0
IQCH	0.0
OR5A2	0.0
UIMC1	2.6899857690145703
NLRP1	0.0
DYNC2LI1	22.096311674048298
NUS1	0.0
MTNR1A	0.672496442253643
DAXX	134.06696930928
ONECUT2	0.0
CLCN1	0.0
SS18L2	0.09607092032194901
TMEM192	0.0
L3MBTL2	62.830381890554705
IL20RA	0.288212760965847
CCDC171	0.0
IL9	0.0
EDIL3	0.0
UBE2V2	0.0
MMP24OS	9.895304793160749
IRF7	0.09607092032194901
CIAO1	79.8349347875396
ITPR2	0.0
ZFP90	0.0
DTX3L	0.09607092032194901
TMEM80	0.480354601609745
CBLN1	0.0
TBC1D3	0.0
UNC93B1	14.1224252873265
SH2D7	0.0
MEIG1	0.0
ALG2	69.651417233413
TMEM126A	274.858903041096
VSTM4	0.480354601609745
PDE5A	0.09607092032194901
ARHGEF25	0.288212760965847
C9orf43	0.288212760965847
TRH	0.0
MRAP	0.0
SMIM31	0.0
ZNF510	28.1487796543311
CARS1	0.480354601609745
CILP	0.0
CMC2	0.0
SLIT3	0.0
TRIM38	18.2534748611703
DNAJC5	0.96070920321949
ABCA3	9.414950191551
CCDC43	30.838765423345603
RAD52	88.7695303774809
F2	0.0
DLEC1	0.0
ZNF786	106.254437876076
TRIM77	0.0
LSG1	2.3057020877267798
STAT2	128.350749550124
CERKL	0.09607092032194901
NT5M	5.668184298994991
CENPM	22.096311674048298
ZYX	0.672496442253643
H4C5	0.0
NOP16	101.354820939656
ADGRV1	0.288212760965847
ITGB1BP1	0.0
GLYCTK	0.0
CYP2C8	0.288212760965847
CTDSPL	0.0
BCL7B	1.53713472515118
FAM234A	0.0
CYP4V2	4.99568785674135
CGREF1	0.09607092032194901
SFTPA2	0.0
CBLL1	139.206763546504
EIF4A3	0.0
COLQ	0.0
DTYMK	0.09607092032194901
POU3F2	0.09607092032194901
ARHGEF3	0.0
DGKZ	0.09607092032194901
IFNA6	0.0
TWF2	83.2934879191298
DDX46	0.288212760965847
DRAP1	0.672496442253643
ARMC9	20.8473897098629
ZC2HC1A	100.922501798207
ADAMTS18	0.0
DEFB107B	0.0
GFM1	0.09607092032194901
OC90	0.0
UGT2B28	0.0
IDNK	0.0
MAP1LC3B2	0.0
SRPK2	0.09607092032194901
FAM91A1	97.80019688774411
STXBP5L	0.672496442253643
CYBC1	28.8693115567457
XPO5	0.0
DYRK4	0.0
DUSP19	0.0
TEX26	0.0
PAK1	0.288212760965847
TREML4	0.0
